Date : 2023-11-27 20:18:14
Directory : c:\Users\rahul\OneDrive\Documents\Projects\GenRep
Total : 87 files,  8351 codes, 46 comments, 1129 blanks, all 9526 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\buttonComponentTypes.ts                                            | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\componentProperties.ts                                             | TypeScript         |         45 |          0 |          5 |         50 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\componentTypes.ts                                                  | TypeScript         |        246 |          3 |         22 |        271 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\databaseProviders.ts                                               | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\errorCodes.ts                                                      | TypeScript         |         91 |          0 |          4 |         95 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\inputComponentTypes.ts                                             | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\data\themes.ts                                                          | TypeScript         |         31 |          0 |          1 |         32 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\formDataToObject.ts                                                     | TypeScript         |         19 |          1 |          6 |         26 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\objectToFormData.ts                                                     | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\reportSchema.ts                                                         | TypeScript         |         89 |          0 |         17 |        106 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\server\knex\queryDb.ts                                                  | TypeScript         |         29 |          0 |          3 |         32 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\server\knex\testDBConnection.ts                                         | TypeScript         |         28 |          0 |          3 |         31 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\lib\server\lucia.ts                                                         | TypeScript         |         22 |          0 |          4 |         26 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\prisma\prisma.ts                                                            | TypeScript         |          4 |          0 |          3 |          7 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\prisma\prismaErrorHandler.ts                                                | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\prisma\schema.prisma                                                        | Prisma             |        195 |          2 |         46 |        243 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+error.svelte                                                        | Svelte             |          8 |          0 |          2 |         10 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+layout.server.ts                                                    | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+layout.svelte                                                       | Svelte             |         33 |          0 |          6 |         39 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+page.server.ts                                                      | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+page.svelte                                                         | Svelte             |         39 |          0 |          4 |         43 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Loader.svelte                                             | Svelte             |         15 |          0 |          2 |         17 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Modal.svelte                                              | Svelte             |         41 |          4 |          6 |         51 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Navbar.svelte                                             | Svelte             |         38 |          1 |          3 |         42 |
