"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "Ignore", "Svelte", "YAML", "CSS", "HTML", "Prisma", "comment", "blank", "total"
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+layout.server.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+page.server.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Loader.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Modal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 6, 51
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Navbar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 3, 42
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Toast.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\google\+server.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\google\callback\+server.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 47
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\logout\+page.server.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
